code_muni,municipio,estado,sabem(7a14),nsabem(7a14),sabem(15a),nsabem(15a),chave_join,numeroestabelecimento,commaquinas,cominstruagra,fabeofi,casaneg,popu
2924405,Pilão Arcado.,BA,158,842,368,632,pilao arcado_BA,0,0,0,2,16,18542
2925105,"Poções,",BA,68,932,202,798,pocoes_BA,0,0,0,0,38,26818
2925204,Pojuca,BA,182,818,259,741,pojuca_BA,99,4,1,6,35,9058
2999931,Pombal,BA,62,938,184,816,pombal_BA,501,5,0,1,25,11252
2925303,Porto Seguro,BA,293,707,499,501,porto seguro_BA,162,2,0,5,25,4041
2925501,Prado.,BA,103,897,280,720,prado_BA,0,0,0,0,12,11445
2925808,Queimadas.,BA,87,913,258,742,queimadas_BA,0,0,0,1,110,24913
2926004,Remanso.,BA,101,899,258,742,remanso_BA,0,0,0,0,7,22514
2999925,Remedios.,BA,62,938,211,789,remedios_BA,0,0,0,1,48,24440
2926301,Riachão do Jacuhype ..,BA,59,941,197,803,riachao do jacuhype_BA,0,0,0,0,6,19337
2923704,Rio Branco.,BA,109,891,215,785,rio branco_BA,0,0,0,0,55,18818
2999932,Santa Cruz.,BA,111,889,324,676,santa cruz_BA,0,0,0,54,7,3234
2928109,Santa Maria da Victoria ...,BA,114,886,260,740,santa maria da victoria_BA,0,0,0,0,0,14065
2928406,Santa Rita do Rio Preto,BA,66,934,184,816,santa rita do rio preto_BA,175,36,1,0,75,17413
2917300,Santarém.,BA,120,880,196,804,santarem_BA,0,0,0,0,11,12560
2928604,Santo Amaro ..,BA,160,840,254,746,santo amaro_BA,0,0,0,39,275,84930
2911402,Santo Antonio da Gloria ...,BA,49,951,186,814,santo antonio da gloria_BA,0,0,0,0,18,14084
2928703,Santo Antonio de Jesus.,BA,176,824,302,698,santo antonio de jesus_BA,0,0,0,11,94,24644
2929107,São Felippe,BA,41,959,124,876,sao felippe_BA,752,167,4,7,26,25151
