Limiar_km,Outcome,Modelo,Coef,DP,P,F_Stat,N
100 km,PIB p.c. (2000),M3,-0.24444574766230676,0.10928444196625887,0.025300427012128424,240.40284655523084,1229
100 km,PIB p.c. (2000),M4,-0.2429882704855037,0.11079902441607131,0.028303471282176584,230.82730332706336,1228
100 km,PIB p.c. (2010),M1,-0.43347075068350377,0.06962169651812766,4.782281237680763e-10,897.7367604645647,1233
100 km,PIB p.c. (2010),M2,-0.3915159477637178,0.11861000543883364,9.638628697257179e-4,230.17578190044168,1233
100 km,PIB p.c. (2010),M3,-0.29183392425138727,0.10479990748431812,0.005358101734134868,258.6562091652257,1233
100 km,PIB p.c. (2010),M4,-0.2659139950012656,0.11070596446864278,0.01630640567471353,231.3084053756143,1231
100 km,Pop. Total (1991),M1,0.030059803856075325,0.12817265356113244,0.8145767471188772,876.7844460861315,1228
100 km,Pop. Total (1991),M2,-0.5892864247612195,0.26772051489924603,0.027727147774514016,211.8777359137219,1228
100 km,Pop. Total (1991),M3,-0.49853743156641117,0.2595204166385571,0.05473233356797014,240.19748712527146,1228
100 km,Pop. Total (1991),M4,-0.4752884165744663,0.26721913032132244,0.07529770741176622,230.6164572293991,1227
100 km,Pop. Total (2000),M1,0.011512023385411255,0.13627089319406913,0.932675630229779,877.5043019531975,1229
100 km,Pop. Total (2000),M2,-0.6657956270926704,0.278145759680475,0.01667969203763664,212.07726472231522,1229
100 km,Pop. Total (2000),M3,-0.5585496470577656,0.2694332622086836,0.03816727329050407,240.40284655523084,1229
100 km,Pop. Total (2000),M4,-0.534324153581092,0.2771820914703557,0.05389234620885741,230.82730332706336,1228
100 km,Pop. Total (2010),M1,0.06921044041238653,0.14424948597645523,0.6313718952060836,897.7367604645647,1233
100 km,Pop. Total (2010),M2,-0.5045769068664272,0.3058034261060283,0.0989420974994677,230.17578190044168,1233
100 km,Pop. Total (2010),M3,-0.37410091261629597,0.3005381659724001,0.21321628244960733,258.6562091652257,1233
100 km,Pop. Total (2010),M4,-0.5004033299821161,0.2850529508902443,0.07917809262113162,231.3084053756143,1231
100 km,Tx. Urban. (2010),M1,-0.12163825954646815,0.026052733722655142,3.027798932686565e-6,897.7367604645647,1233
