Outcome,Modelo,Coef,DP,P,F_Stat,N
Pop. Total (1991),M1,0.5674316181960448,0.15242484134972026,1.9710540214212813e-4,5.468869388484837e-33,1143
Pop. Total (1991),M1,0.5674316181960448,0.15242484134972026,1.9710540214212813e-4,1,1143
Pop. Total (1991),M1,0.5674316181960448,0.15242484134972026,1.9710540214212813e-4,1133,1143
Pop. Total (1991),M2,0.6878360547373252,0.2509721279348698,0.006131087765012255,58.89116022848501,1143
Pop. Total (1991),M2,0.6878360547373252,0.2509721279348698,0.006131087765012255,3.5829731909979713e-14,1143
Pop. Total (1991),M2,0.6878360547373252,0.2509721279348698,0.006131087765012255,1,1143
Pop. Total (1991),M2,0.6878360547373252,0.2509721279348698,0.006131087765012255,1132,1143
Pop. Total (1991),M3,0.6054255198243685,0.2729951043869649,0.02657422538439591,50.697312396590085,1143
Pop. Total (1991),M3,0.6054255198243685,0.2729951043869649,0.02657422538439591,1.9140570833448868e-12,1143
Pop. Total (1991),M3,0.6054255198243685,0.2729951043869649,0.02657422538439591,1,1143
Pop. Total (1991),M3,0.6054255198243685,0.2729951043869649,0.02657422538439591,1129,1143
Pop. Total (1991),M4,0.5718265575313866,0.27415066585722114,0.03699571916863231,49.650112722711356,1142
Pop. Total (1991),M4,0.5718265575313866,0.27415066585722114,0.03699571916863231,3.1950009297868915e-12,1142
Pop. Total (1991),M4,0.5718265575313866,0.27415066585722114,0.03699571916863231,1,1142
Pop. Total (1991),M4,0.5718265575313866,0.27415066585722114,0.03699571916863231,1126,1142
Pop. Total (2000),M1,0.6373741429795304,0.15851885680949201,5.799846647502882e-5,152.9319798612134,1144
Pop. Total (2000),M1,0.6373741429795304,0.15851885680949201,5.799846647502882e-5,4.8068108922999e-33,1144
Pop. Total (2000),M1,0.6373741429795304,0.15851885680949201,5.799846647502882e-5,1,1144
Pop. Total (2000),M1,0.6373741429795304,0.15851885680949201,5.799846647502882e-5,1134,1144
Pop. Total (2000),M2,0.7724060781689244,0.26104164404709695,0.003087010566463766,58.98027326797992,1144
Pop. Total (2000),M2,0.7724060781689244,0.26104164404709695,0.003087010566463766,3.429763088248586e-14,1144
Pop. Total (2000),M2,0.7724060781689244,0.26104164404709695,0.003087010566463766,1,1144
Pop. Total (2000),M2,0.7724060781689244,0.26104164404709695,0.003087010566463766,1133,1144
Pop. Total (2000),M3,0.6900028632876102,0.2831359481012221,0.014809598683356073,50.7389283403097,1144
Pop. Total (2000),M3,0.6900028632876102,0.2831359481012221,0.014809598683356073,1.8746823950939676e-12,1144
Pop. Total (2000),M3,0.6900028632876102,0.2831359481012221,0.014809598683356073,1,1144
Pop. Total (2000),M3,0.6900028632876102,0.2831359481012221,0.014809598683356073,1130,1144
Pop. Total (2000),M4,0.6510294292750055,0.2840571916242835,0.021911667895306852,49.6961926147695,1143
Pop. Total (2000),M4,0.6510294292750055,0.2840571916242835,0.021911667895306852,3.1224432711057137e-12,1143
Pop. Total (2000),M4,0.6510294292750055,0.2840571916242835,0.021911667895306852,1,1143
Pop. Total (2000),M4,0.6510294292750055,0.2840571916242835,0.021911667895306852,1127,1143
Pop. Total (2010),M1,0.772549476475583,0.16571153130354788,3.1312990593779233e-6,155.01299472130762,1147
Pop. Total (2010),M1,0.772549476475583,0.16571153130354788,3.1312990593779233e-6,1.889132762411624e-33,1147
Pop. Total (2010),M1,0.772549476475583,0.16571153130354788,3.1312990593779233e-6,1,1147
Pop. Total (2010),M1,0.772549476475583,0.16571153130354788,3.1312990593779233e-6,1137,1147
Pop. Total (2010),M2,0.8672222350772705,0.27140510728753636,0.0013968289200303463,59.79712440336832,1147
Pop. Total (2010),M2,0.8672222350772705,0.27140510728753636,0.0013968289200303463,2.3072951954810944e-14,1147
Pop. Total (2010),M2,0.8672222350772705,0.27140510728753636,0.0013968289200303463,1,1147
Pop. Total (2010),M2,0.8672222350772705,0.27140510728753636,0.0013968289200303463,1136,1147
Pop. Total (2010),M3,0.7742831913246773,0.2938763199832244,0.008420555519511375,51.19071243877514,1147
Pop. Total (2010),M3,0.7742831913246773,0.2938763199832244,0.008420555519511375,1.501867660726048e-12,1147
Pop. Total (2010),M3,0.7742831913246773,0.2938763199832244,0.008420555519511375,1,1147
Pop. Total (2010),M3,0.7742831913246773,0.2938763199832244,0.008420555519511375,1133,1147
Pop. Total (2010),M4,0.7289624427503696,0.2942837259082704,0.013246459003469102,50.21578243295201,1146
Pop. Total (2010),M4,0.7289624427503696,0.2942837259082704,0.013246459003469102,2.4195958924039067e-12,1146
