"code_amc","x","y","sabem_7a14","nsabem_7a14","sabem_15a","nsabem_15a","numeroestabelecimento","commaquinas","cominstruagra","fabeofi","casaneg","popu"
10177,353999.766044775,8106148.70442341,142.989672428109,837.067664514276,312.936559568047,668.13566133809,102.696744816868,3.9069911489647,0.0252853950860816,3.60618695311339,45.8584915173716,14671.3760612385
10178,537214.32032795,8574722.11403247,395,605,444,556,0,0,0,0,90,20005
10179,446217.923271283,8347189.83158431,182.99895717464,812.93600349231,317.101179964526,679.182585684423,1637.02763083319,1.90937087807057,0.798553973532137,14.7492091639142,210.418765367226,39368.1713505246
10180,429213.088072503,8240987.909756,195.279975893665,779.002896818898,358.644808513589,621.893351249005,160.357211646878,0.739190945630401,0.0683089259379406,3.33241831871655,60.653473548802,14963.7588380099
10181,386604.89474413,8307891.84144791,135.583276059733,840.224098172712,276.708833476453,700.184912807983,352.14779092623,2.02234497910892,0.162011699244033,5.60374199120495,87.1310078096098,29879.8460496542
10182,587905.609513889,8763068.92994202,72.6442397525329,922.512325123045,178.469118679596,815.891046338283,204.50433981988,6.32506625151793,0.0999087536997147,10.8365812562262,29.5461506751794,12756.11021927
10183,432888.209406247,8399645.39417174,134.653536131279,849.622460901731,257.271785132759,724.418012168992,259.131997880398,7.85389095215116,0.119071081247999,6.92562710778265,92.031630403537,26938.3778417645
10184,402834.28161772,8512674.91936072,87.1879364395955,908.076694618083,173.995233742755,817.710097324898,626.938752731859,89.5272633875382,0.0782435138831825,4.17475444231589,60.4447131540357,33548.817730783
10185,388603.654413603,8265750.94475237,154.189737666795,819.39835591216,311.468669121323,666.13757996251,247.014604195992,0.842021551843412,0.112653194791368,4.59367754036801,74.7900035616796,24049.3350408068
10186,429696.701840441,8592994.53074809,65,935,174,826,344,51,0,0,47,30962
10187,375502.334134788,8509044.02875959,86.5388877976726,909.649308355538,188.463782439335,804.834590780454,453.416026496341,64.8769691658343,0.0616491932290703,3.13062888330563,50.0663922287324,26108.329031954
10188,407857.879055301,8813676.75118977,92.9767483134079,901.615140645618,255.271804361866,739.449566116001,112.302733898083,1.63352345551691,0.114071180804229,5.49295774373788,92.3063157835059,28618.197560552
10189,391754.737166416,8336023.83680493,129.292445066214,850.665360307227,263.613959661765,718.204401988524,419.951765055393,4.10507475392041,0.195046741236468,6.23882037904057,94.7732846724243,31053.0365924999
10190,241650.402023064,8469268.275302,84,916,188,812,291,89,1,1,48,20282
10191,476184.980694581,8478109.25047176,120,880,196,804,0,0,0,0,11,12560
10192,3363.79793492899,8411324.37654193,47.4451345200265,946.80602980237,160.210710915314,833.973640361786,117.80215263863,52.2614125968741,0.495977717956109,1.90597098943222,18.2721672466944,14482.8439421219
10193,143802.043566588,8364010.08408099,40,960,132,868,0,0,0,1,10,21894
10194,382207.192220167,8890769.65662351,111.394240535323,878.960166848777,269.756496121724,723.372009057953,168.604798604162,3.43990083028802,1.24128034288014,8.19382912857104,88.3341373045523,28223.2299845719
10195,501843.071969375,8549989.92396679,143,857,231,769,0,0,0,0,48,11598
10196,653226.431197456,8717550.48383524,89.2594555671815,902.676792264876,156.233425033995,836.584984479359,91.209319464044,14.3184791688145,0.467893605436378,6.9901935725432,20.2866705840449,7995.87477932818
10197,375944.733795612,8465439.9686246,88,912,228,772,0,0,0,0,0,0
10198,554702.022899237,8895657.38261863,51,949,149,851,0,0,0,1,15,16318
10199,436623.134796717,8526991.83411044,64,936,122,878,289,175,0,0,13,24397
10200,405798.086345225,8455650.45679406,94.6417215639278,898.136870628054,204.210045964242,784.097389742063,177.755468717186,29.7800964085328,0.0303718701231094,2.68005093776436,33.3500475838097,16217.6735915988
10201,349878.362962458,8942535.74706627,188,812,345,655,0,0,0,3,66,12783
10202,187432.435252369,8788343.95585888,98.3684085434848,892.61396800632,254.154064938732,738.533896475064,42.6119420658139,3.09363912720893,0.074149498535541,3.7410702309068,33.4579838790512,26841.3528137115
10203,218832.220324148,8503998.83165132,74.8521726783758,919.294243955509,200.723621033511,795.67928802239,75.9036454081301,35.5459951116174,0.144330919164574,9.33819577967584,65.6421716000322,31968.2532364964
10204,360861.343991063,8493460.81369735,84.6251749134064,913.639353282374,197.285193743818,798.795297868523,365.819949981563,50.833601498017,0.0498327864913596,1.71606820604381,48.2858884217927,22339.6493324623
10205,462255.581083427,8544705.15053584,65,935,124,876,0,0,0,0,0,14710
10206,360812.843073968,8058578.70813729,144.506738365163,841.457247168459,315.76137855617,670.066608758422,101.233617017247,6.41996188739817,0.0166860146694584,3.84722455146862,48.0005611969388,12920.3477277126
10207,285086.381304297,8629630.27333272,128.015858998134,843.254736691722,262.792039716133,723.105354191594,113.228838186481,3.40531849673795,0.0718628331316198,3.03812094030259,31.3211304841819,17254.4576798852
10208,336621.302593188,8507063.99101387,83,917,200,800,594,68,0,2,88,33663
10209,510521.896648352,8698188.15055058,83.8875584469994,911.170085444132,196.500854536029,800.781509053105,536.027219706693,1.55715704191818,2.24184684955059,6.63856261846586,42.3883344908959,33469.3394348525
10210,572985.506492101,8577903.96069776,219.253796490047,690.416762197956,328.527434811921,584.430235341103,56.4426146262328,0.855804112158716,1.19132320228427,53.3259834211143,625.259390408479,100834.045254866
10211,245842.044762908,8625922.39329995,241,759,356,644,74,4,0,1,23,7789
10212,125960.019862662,8384551.9335595,52.8983709382332,945.935176805824,172.295930923549,824.277341572535,211.703155162345,88.7886314565702,0.283060047262391,6.5669362354756,38.0257543820648,24750.2024373986
10213,174594.34984597,8472266.72036808,60.683067141385,937.143621217833,179.874174033849,818.216545828018,267.034819245049,165.674986430018,0.53132261702378,4.31501575586834,45.9605422843056,29306.5766420172
10214,361230.58806364,8659600.66944055,75,925,206,794,250,0,0,10,33,8604
10215,350910.796111778,8281083.65776504,112.804832959708,857.03948994827,262.448989555429,712.507900128033,207.594140912356,2.93756945280759,0.122653099421649,3.78687101351035,65.2517376644382,36043.4716827921
10216,97699.0968459008,8540604.45018154,33,967,169,831,0,0,0,0,15,38339
10217,509374.24635263,8974095.70624573,70.4915260465603,925.903063376188,210.307249915178,782.133560213909,220.777988885485,18.6102875915097,0.244326507372935,2.8197292575153,34.7979402439665,15740.3668120224
