code_amc,pib_2021,pib_2023
5042,162616,165672
5043,546570,646383
5044,386259,595842
5045,273330,341016
5046,2042133,2581922
5047,140718,168954
5048,295942,443813
5049,34929,42669
5050,73781,90976
5051,86389,100644
5052,101429,363648
5053,84497,104812
5054,84899,102924
5055,51547,69177
5056,64391,69280
5057,213313,276161
5058,207991,244663
5059,1269833,1527022
5060,27991,33800
5061,67413,88302
5062,315838,442765
5063,98702,120094
5064,70837,89996
5065,81381,101030
5066,38240,48944
5067,269032,326107
5068,94311,124483
5069,165928,632670
5070,51593,68290
5071,51509,61082
5072,135828,178124
5073,1828142,2455739
5074,1111118,1315680
5075,82889,101177
5076,157980,195279
5077,320482,372703
5078,55529,65325
5079,130282,158962
5080,271451,348751
5081,32366,45922
5082,24186139,31162043
5083,474716,573358
5084,560495,629221
5085,47532,58972
5086,61703,80889
5087,43930,56062
5088,55256,62150
5089,606239,524974
5090,368924,473775
5091,152322,179582
5092,46128,46583
5093,160912,198146
5094,309583,380369
5095,709328,827724
5096,293283,325405
5097,36126,65240
5098,79994,282103
5099,173615,200896
5100,757491,668530
5101,41829,50550
5102,131859,161103
5103,78933,99832
5104,109306,150413
5105,169428,182889
5106,53271,61865
5107,43450,48290
5108,37507,42857
5109,43512,53836
5110,192156,319931
5111,59192,67765
5112,126772,218239
5113,619036,716309
5114,36353,51449
5115,302533,339515
5116,45623,58251
5117,63596,77560
5118,54447,74357
5119,1905641,2588564
5120,84585,100073
5121,1040956,1457800
5122,125090,165230
5123,83854,106548
5124,362942,467934
5125,1307475,1727768
5126,55799,72504
5127,88674,108235
5128,111773,184856
5129,76920,100458
5130,60475,79950
5131,116486,114536
5132,57410,84833
5133,118874,162339
5134,71897,92368
5135,63098,96870
5136,53783,64195
5137,32472,43556
5138,155197,184091
5139,201782,225000
5140,113586,142795
5141,415829,576215
5142,43617,47341
5143,151205,167072
5144,214152,370220
5145,133469,167326
5146,23238,29717
5147,44403,49863
6001,92268,107368
6002,60256,68585
6003,300766,367232
6004,389679,457646
6005,138844,166686
6006,498918,610858
6007,210321,262849
6008,3391901,3148252
6009,273258,347715
6010,231127,292640
6011,1600042,2067853
6012,186121,233113
6013,112505,133977
6014,241180,286116
6015,258030,355512
6016,55081,63268
6017,62686,81463
6018,362436,429500
6019,433519,525913
6020,108130,130462
6021,279647,370980
6022,263603,332318
6023,201508,250629
6024,85061,101524
6025,1367700,1899000
6026,217642,268655
6027,78754,93160
6028,127817,175517
6029,51771,63601
6030,10553382,13228189
6031,32154,40310
6032,54738,66561
6033,96760,119586
6034,60877,73095
6035,69315,80671
6036,176735,243608
6037,64523,79111
6038,416707,545157
6039,145605,210778
6040,3137677,4092777
6041,125141,153125
6042,39217,45669
6043,154293,179299
6044,140171,178779
6045,114556,148997
6046,1231837,1808447
6047,600653,753697
6048,74927,92129
6049,71860,87713
6050,1013501,1347933
6051,97793,126623
6052,31011,39802
6053,423792,512389
6054,53095,63519
6055,506809,622714
6056,246401,297666
6057,90623,89037
6058,1274198,1648300
6059,61917,85465
6060,250138,255021
6061,172191,217988
6062,191764,253013
6063,76970,102129
6064,259732,321222
6065,66817,87664
6066,26853,33783
6067,39511,50452
6068,59527,75548
6069,94022,117418
6070,100182,123148
6071,41741,46042
6072,709828,851650
6073,105579,135441
6074,30352,38774
6075,1778824,1489288
6076,151393,201227
6077,67858,90624
6078,58012,63597
6079,98470,105988
6080,245641,338281
6081,336826,417387
6082,342219,445867
6083,206834,261025
6084,154474,211522
6085,222773,287774
6086,108477,134879
6087,21865637,28442131
6088,73279,93223
6089,96811,128192
6090,117631,150461
6091,87525,111022
6092,51364,65991
6093,83716,104437
6094,310520,416794
6095,29567,37248
6096,70182,83602
6097,222862,279944
6098,38696,45505
6099,79951,77516
6100,101623,110034
6101,427428,516440
6102,242496,303052
6103,130597,196173
6104,229876,231046
6105,231423,301989
6106,164588,220317
6107,55405,68335
6108,48173,59800
6109,636488,842417
6110,98547,111589
6111,95639,116149
6112,66198,81441
6113,99828,114955
6114,57973,69482
6115,49111,54633
6116,62018,76534
6117,43664,53270
6118,38371,47542
6119,58584,72837
6120,1998302,2555214
6121,157586,200281
6122,37568,48602
6123,80276,94715
6124,656966,836969
6125,206946,246685
